"","time","variable","I","group"
"1",0,"I_i",0.00263333333333333,"simple_90"
"2",1,"I_i",0.0025789651992766,"simple_90"
"3",2,"I_i",0.00252417665346031,"simple_90"
"4",3,"I_i",0.00246904508543552,"simple_90"
"5",4,"I_i",0.0024136372227942,"simple_90"
"6",5,"I_i",0.00235804049106697,"simple_90"
"7",6,"I_i",0.00230232407995683,"simple_90"
"8",7,"I_i",0.00224655875807994,"simple_90"
"9",8,"I_i",0.00219081348406457,"simple_90"
"10",9,"I_i",0.0021351551473676,"simple_90"
"11",10,"I_i",0.00207964853090197,"simple_90"
"12",11,"I_i",0.00202435622372489,"simple_90"
"13",12,"I_i",0.00196933868126233,"simple_90"
"14",13,"I_i",0.00191465370176426,"simple_90"
"15",14,"I_i",0.00186035689325591,"simple_90"
"16",15,"I_i",0.00180650141948615,"simple_90"
"17",16,"I_i",0.00175313793230502,"simple_90"
"18",17,"I_i",0.00170031457109894,"simple_90"
"19",18,"I_i",0.00164807693504074,"simple_90"
"20",19,"I_i",0.00159646806771451,"simple_90"
"21",20,"I_i",0.00154552845036833,"simple_90"
"22",21,"I_i",0.00149529600227256,"simple_90"
"23",22,"I_i",0.00144580608829865,"simple_90"
"24",23,"I_i",0.00139709153464412,"simple_90"
"25",24,"I_i",0.00134918264955655,"simple_90"
"26",25,"I_i",0.00130210725116136,"simple_90"
"27",26,"I_i",0.00125589070179451,"simple_90"
"28",27,"I_i",0.00121055594700569,"simple_90"
"29",28,"I_i",0.00116612356048401,"simple_90"
"30",29,"I_i",0.00112261179282574,"simple_90"
"31",30,"I_i",0.00108003662417606,"simple_90"
"32",31,"I_i",0.00103841182368891,"simple_90"
"33",32,"I_i",0.000997749010031911,"simple_90"
"34",33,"I_i",0.000958057661669991,"simple_90"
"35",34,"I_i",0.000919345326550674,"simple_90"
"36",35,"I_i",0.000881617599346356,"simple_90"
"37",36,"I_i",0.000844878164558487,"simple_90"
"38",37,"I_i",0.000809128905063394,"simple_90"
"39",38,"I_i",0.000774369975678596,"simple_90"
"40",39,"I_i",0.000740599878905961,"simple_90"
"41",40,"I_i",0.000707815542074786,"simple_90"
"42",41,"I_i",0.000676012394921363,"simple_90"
"43",42,"I_i",0.000645184447425382,"simple_90"
"44",43,"I_i",0.000615324367647503,"simple_90"
"45",44,"I_i",0.000586423559318307,"simple_90"
"46",45,"I_i",0.000558472238948034,"simple_90"
"47",46,"I_i",0.00053145951224148,"simple_90"
"48",47,"I_i",0.000505373449617478,"simple_90"
"49",48,"I_i",0.00048020116064743,"simple_90"
"50",49,"I_i",0.000455928867242135,"simple_90"
"51",50,"I_i",0.000432541975430703,"simple_90"
"52",51,"I_i",0.000410025145589559,"simple_90"
"53",52,"I_i",0.000388362360993402,"simple_90"
"54",53,"I_i",0.000367537030909727,"simple_90"
"55",54,"I_i",0.000347531931484485,"simple_90"
"56",55,"I_i",0.000328329413982087,"simple_90"
"57",56,"I_i",0.000309911407734284,"simple_90"
"58",57,"I_i",0.000292259472219143,"simple_90"
"59",58,"I_i",0.000275354854351547,"simple_90"
"60",59,"I_i",0.000259178560388641,"simple_90"
"61",60,"I_i",0.000243711395917739,"simple_90"
"62",61,"I_i",0.000228934011127703,"simple_90"
"63",62,"I_i",0.000214826959389746,"simple_90"
"64",63,"I_i",0.000201370720949516,"simple_90"
"65",64,"I_i",0.000188545771212229,"simple_90"
"66",65,"I_i",0.000176332610850695,"simple_90"
"67",66,"I_i",0.000164711803802454,"simple_90"
"68",67,"I_i",0.000153664016981495,"simple_90"
"69",68,"I_i",0.000143170045342223,"simple_90"
"70",69,"I_i",0.000133210849692511,"simple_90"
"71",70,"I_i",0.00012376758723342,"simple_90"
"72",71,"I_i",0.000114821623582982,"simple_90"
"73",72,"I_i",0.000106354602779264,"simple_90"
